DEMO COMPANY SL,,
DEMO COMPANY SL - Balance de situación 01/01/2023-31/12/2023,,
01/01/2023  -  31/12/2023,,
,,
,Total,
26000003 - FIANZA PARKING ESTACIONAMIENTO,136,
26000004 - FIANZA AUTOMOVIL TODOCAMINO GAMA MEDIA,"349,85",
VI. Activos por impuesto diferido,"15342,67",
Activos por impuesto diferido,"15342,67",
474 Activos por impuesto diferido,"15342,67",
47420000 - DCHOSDEDUCY BONI PTES APLI,"15342,67",
,,
Activo Corriente,"1331488,60",
III. Deudores comerciales y otras cuentas a cobrar,"51346,9",
3. Deudores varios,"36090,79",
440 Deudores,"36090,79",
44000000 - DEUDORES EUROS,20111,
44000005 - COLIBRI TRADE,"1304,93",
44000006 - VENTUS SOLUTIONS,"-589,44",
44000007 - TOPUPCRAFT,"10605,46",
44000008 - SONORA COMUNICACIONES SA,"3169,93",
44000009 - RECARGA GLOBAL SA,"2060,43",
44000010 - RAPIDPAY,"-571,53",
4. Personal,7039,
460 Anticipos de remuneraciones,1006,
46000002 - CASTRO PEREZ DANIEL,1006,
544 Créditos a corto plazo al personal,6033,
54400001 -  Créditos a corto plazo Carla Núñez Rivas,6033,
5. Activos por impuesto corriente,"8217,26",
4709 Hacienda Pública,deudora por devolución de impuestos,"8.217,26"
47090000 - HP DEUDORA DEVOLUC IMPUESTOS,"8217,26",
V. Inversiones financieras a corto plazo,"596011,23",
1. Instrumentos de patrimonio,"591416,6",
540 Inversiones financieras a corto plazo en instrumentos de patrimonio,"591416,6",
54000000 - INV FNAS CP INSTRPATRIMONIO,351942,
54000001 - BTC,"39256,31",
54000002 - INVERSION ORBIA- GESTORA GLOBAL RENTA VARIABLE SOSTENIBLE EUR 1035009490,"8044,19",
54000003 - FONDO INVESRIÓN ORBIA-LK CRECIMIENTO FI 5260476455,"57429,87",
54000004 - FONDO INVESRIÓN ORBIA-LK DINAMICO FI 9560205186,14078,
54000005 - FONDO INVERSIÓN ORBIA-LK OBJETIVO 2030 FI 9590184017,27150,
54000006 - FONDO INVERSIÓN-LABORAL ORBIA COMPROMISO PLUS FI 5470118738,6033,
54000007 - FONDO DE INVESRIÓN ORBIA-LK EQUILIBRADO FI 5480156072,66366,
54000008 - INVERSIÓN ORBIA-RENTA FIJA GLOBAL FONDO CLASE E EUR 0875009490,"21116,54",
5. Otros activos financieros,"4594,68",
551 Cuenta corriente con socios y administradores,"4594,68",
55100000 - CUENTA SOCIO FERNANDO MORALES,"130,04",
55100002 - CUENTA SOCIO NEXUS PARTICIPACIONES,4465,
VII. Efectivo y otros activos liquidos equivalentes,"684130,4",
1. Tesorería,"684130,4",
572 Bancos,euros,"684.130,46"
57200002 - BANCO NORTIA CC 705818,"103,95",
57200003 - MERIDIA 518554,"321,75",
57200006 - VENDIA 106454,"130042,20",
57200011 - ALTAVIA,"404856,78",
57200012 - USUARIO CENTRAL 698670,"33691,72",
57200014 - NEXCARD,"9782,71",
57200015 - PAYWELL,"36325,52",
57200016 - ORBIA LABORAL,"46670,26",
57200019 - CUENTA PRIMEVA ONE EMPRESAS,"22335,57",
,,
Total Activo A+B,"1399015,8",
,,
PASIVO,,
Patrimonio Neto,"1284127,92",
I. Capital,427167,
1. Capital escriturado,427167,
100 Capital social,427167,
10000000 - CAPITAL SOCIAL,427167,
II. Prima de emisión,373377,
1. Prima de emisión,373377,
110 Prima de emisión o asunción,373377,
11000000 - PRIMA DE EMISIÓN O ASUNCIÓN,373377,
III. Reservas,"377300,59",
1. Legal y estatutarias,"40291,47",
112 Reserva legal,"40291,47",
11200000 - RESERVA LEGAL,"40291,47",
2. Otras reservas,"337009,12",
113 Reservas voluntarias,"337009,12",
11300000 - RESERVAS VOLUNTARIAS,"337009,12",
VII. Resultado del ejercicio,"106283,83",
1. Resultado del ejercicio,"106283,83",
129 Resultados del ejercicio,"106283,83",
12900000 - RESULTADO DEL EJERCICIO,"106283,83",
,,
Pasivo No Corriente,"10350,47",
II. Deudas a largo plazo,"10350,47",
2. Deudas a largo plazo con entidades de crédito,"10350,47",
170 Deudas a largo plazo con entidades de crédito,"10350,47",
17000001 - PRÉSTAMO MERIDIA 2020,"10350,47",
,,
Pasivo Corriente,"104537,40",
III. Deudas a corto plazo,"15374,50",
2. Deudas a corto plazo con entidades de crédito,"15374,50",
520 Deudas a corto plazo con entidades de crédito,"15374,50",
52000002 - PRESTAMO MERIDIA CP,"15301,84",
52000003 - ALTAVIA 3493,"72,66",
V. Acreedores comerciales y otras cuentas a pagar,"89162,89",
3. Acreedores varios,"12070,29",
41 Acreedores varios,"12070,29",
41000003 - BRISALINK COMERCIO SL,"267,85",
41000019 - NADIA CORTES VALLE,-1006,
41000020 - NEXAWEB DUBLIN LIMITED,"384,39",
41000041 - ROTABIZ COMPANY SL,"-0,1",
41000080 - DELTA ASESORES,"770,80",
41000095 - SKYDATA REGION LIMITED,"469,33",
41000141 - LOGISTICA NORTE SL,"128,6",
41000151 - TIENDA AUTOMATICA SLU,"195,11",
41000153 - ASESORIA FINANCIERA CENTRAL,"3507,06",
41000156 - MARCOS OLIVARES PEÑA,-105,
41000197 - MARKETINSIGHT ANALYTICS,"-0,01",
41000223 - GLOBALTRADE CORP,"-748,35",
41000241 - DATASYNTH LLC,"-0,01",
41000276 - OFICINA REGIONAL ATLANTICO SA,"1508,36",
41000304 - PAYFLEX SOLUCIONES SA,"124,19",
41000332 - ARENAL CONSULTING SL,"-0,01",
41000335 - TELCO PRIME COMUNICACIONES SLU,"0,01",
41000346 - Diego Fernández Ruiz,503,
41000349 - SECUREPOINT SISTEMAS SL,"6071,4",
4. personal (remuneraciones pendientes de pago),"-3829,77",
465 Remuneraciones pendientes de pago,"-3829,77",
46500003 - MORALES DIAZ FERNANDO ANTONIO,"-3829,77",
6. Otras deudas con las Administraciones Públicas,"80922,38",
4750 Hacienda Pública,acreedora por IVA,"33.352,04"
47500000 - HACIENDA PÚBLICA ACREEDORA PO,"33352,04",
4751 Hacienda Pública,acreedora por retenciones practicadas,"34.653,81"
47510000 - HP ACREED RETEN PROFESIONAL,"549,70",
47510001 - HP ACREED RETEN TRABAJADOR,"34104,10",
476 Organismos de la Seguridad Social,acreedores,"12.916,54"
47600000 - ORGANIDE LA SSSSACREEDORES,"12916,54",
,,
Total Patrimonio Neto y Pasivo,"1399015,8",
,,
,,
Informe creado automáticamente con GestionaPro - 02/03/2024 09:31,,
