SOLANTIS BRIDGE DIGITAL SL,,
SOLANTIS BRIDGE DIGITAL SL - Pérdidas y ganancias 01/01/2024-31/12/2024,,
01/01/2024  -  31/12/2024,,
,,
,Total,
68210011 - DOTAMORT3 MESAS ALTAS BARRA 130X70,"-34,17",
68210012 - DOTAMORT5 TABURETES INDUSTRIALES,"-32,32",
68210013 - DOTAMORT3 BUTACAS LECTURA TAPIZADAS,"-31,40",
68210014 - DOTAMORT8 SILLAS COMEDOR NORDICAS,"-29,55",
68210015 - DOTAMORT3 MESAS TRABAJO 100X70 ROBLE,"-27,70",
68210016 - DOTAMORT3 SILLAS AUXILIARES TAPIZADAS,"-26,78",
68220001 - DOTAMORT TERRABOOK PRO PORTATIL_DMC,"-286,28",
68220002 - DOTAMORT NIMBUSPAD TABLET_DMC,"-143,14",
68220003 - DOTAMORT VELOCE NOTEBOOK PORTATIL_ORL,"-120,05",
68220004 - DOTAMORT VELOCE NOTEBOOK PORTATIL_STF,"-120,05",
68220005 - DOTAMORT ORIONBOOK 14 PORTATIL_QVN,"-114,51",
68220006 - DOTAMORT MONITOR VISTACLEAR 27_ORL,"-62,80",
68220007 - DOTAMORT MONITOR VISTACLEAR 27_STF,"-62,80",
68220008 - DOTAMORT MONITOR VISTACLEAR 27_BHK,"-62,80",
68220009 - DOTAMORT MONITOR VISTACLEAR 27_NLM,"-58,18",
68220010 - DOTAMORT ARCBOOK 15 PORTATIL_TSV,"-131,14",
68220011 - DOTAMORT ARCBOOK 15 PORTATIL_NLM,"-131,14",
68220012 - DOTAMORT ARCBOOK 15 PORTATIL_KVR,"-131,14",
68220013 - DOTAMORT ARCBOOK 15 PORTATIL_BHK,"-131,14",
68220014 - DOTAMORT ARCBOOK 15 PORTATIL_GMD,"-131,14",
68220015 - DOTAMORT VELOCE NOTEBOOK PORTATIL_SFR,"-105,28",
68220016 - DOTAMORT ORIONBOOK 14 PORTATIL_PMT,"-96,97",
68220017 - DOTAMORT NUCLEUS I7 ORDENADOR SOBREMESA_DMC,"-241,95",
68220018 - DOTAMORT VELOCE NOTEBOOK PORTATIL_LCB,"-84,96",
68220019 - DOTAMORT MONITOR VISTACLEAR 24_KSN,"-50,79",
68220020 - DOTAMORT ORIONBOOK 14 PORTATIL_LPV,"-55,41",
68220021 - DOTAMORT PULSAR PHONE X2 256GB_YTR,"-55,41",
,,
13. Otros resultados,"18.752,67",
a) Ingresos excepcionales,"18.857,68",
77810000 - INGRESOS EXCEPCIONALES,"18.857,68",
b) Gastos excepcionales,"-105,01",
67810001 - SANCIONES ADMINISTRATIVAS,"-105,01",
,,
Resultado de explotación,"370.015,32",
,,
15. Gastos financieros,"-30.787,96",
b) Por deudas con terceros,"-30.787,96",
66240001 - PRESTAMO BANCO SOLVIA,"-477,21",
66900002 - PERDIDAS OPERACIONES CON USUARIOS,"-30.310,75",
,,
16. Variación de valor razonable en instrumentos financieros,"-111,96",
a) Cartera de negociación y otros,"-111,96",
66310000 - PERDIDAS DE CARTERA DE NEGOCIACION,"-111,96",
,,
18. Deterioro y resultado por enajenaciones de instrumentos financiero,"12.315,18",
b) Resultados por enajenaciones y otras,"12.315,18",
76610000 - BENEFICIO VALORES REPRESENTATIVOS DEUDA LP,"12.315,18",
,,
Resultado financiero,"-18.584,74",
,,
Resultado antes de impuestos,"351.430,58",
,,
19. Impuestos sobre beneficios,"-67.826,10",
Impuestos sobre beneficios,"-67.826,10",
63010000 - IMPUESTO CORRIENTE,"-67.826,10",
,,
Resultado del ejercicio,"283.604,48",
,,
,,
Informe creado automáticamente con Holded - 01/01/2025 12:00,,
