DEMO COMPANY SL,,
DEMO COMPANY SL - Balance de situación 01/01/2024-31/12/2024,,
01/01/2024  -  31/12/2024,,
,,
,Total,
21700003 - AMORT DE PORTATIL GAMA BASICA PORTATIL_ILA,"653,00",
21700004 - AMORT DE PORTATIL GAMA BASICA PORTATIL_MT,"653,00",
21700005 - AMORT DE PORTATIL COMPACTO GAMA BASICA PORTATIL_LVP,"680,21",
21700006 - AMORT DE MONITORES PANTALLA VISUAL ANCHA_RLH,"176,83",
21700007 - AMORT DE MONITORES PANTALLA VISUAL ANCHA_LVP,"176,83",
21700008 - AMORT DE MONITOR PANTALLA VISUAL ANCHA_AFLC,"176,83",
21700009 - AMORT DE MONITOR PANTALLA VISUAL ANCHA_DBB,"191,26",
21700010 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_MS,"670,04",
21700011 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_DBB,"1018,99",
21700012 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_KCS,1019,
21700013 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AFLC,1019,
21700014 - AMORT DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AGD,1019,
21700015 - AMORT DE PORTATIL GAMA BASICA PORTATIL_SAG,815,
21700016 -  AMORT DE PORTATIL COMPACTO GAMA BASICA PORTATIL_NMF,"751,52",
21700017 - AMORT DE ORDENADOR SOBREMESA GAMA ALTA_RPL,"1850,06",
21700018 - AMORT DE PORTATIL GAMA BASICA PORTATIL_MCL,"722,39",
21700019 - AMORT DE MONITOR PANTALLA VISUAL ANCHA_KSV,"172,77",
21700020 - AMORTIZACO PORTATIL SENCILLO LVP,"816,26",
21700021 - AMORT TELEFONO MOVIL GAMA ALTA 512GB-YPT,1835,
2816 Amortización acumulada de mobiliario,"-4238,59",
28160001 - AMORTACUM5 ASIENTOS RECLINABLE,"-590,07",
28160002 - AMORTACUM5 MESAS OFICLINEAL,"-379,68",
28160003 - AMORTACUM5 CAJONERAS RODANTES,"-341,56",
28160004 - AMORTACUM4 ARCHIV VERTICAL,"-521,83",
28160005 - AMORTACUM 6 ARCHIVMETAL,"-538,93",
28160006 - AMORTACUM 2 ARMARIOS ALTOS DE PUERTAS,"-250,39",
28160007 - AMORTACUM 4 PUF REDONDO O CUADRADO,"-129,18",
28160008 - AMORTACUM MESA DE JUNTAS DE MEDIDAS 200X120 SOBRE LAMINADO Y PIES METALICOS,"-114,89",
28160009 - AMORTACUM 2 CONJUNTO DE 4 MESAS DE MEDIDAS 120120,"-306,4",
28160010 - AMORTACUM MESA DE 120X80 SOBRE LAMINADOS Y PIES METALICOS,"-78,13",
28160011 - AMORTACUM 2 MESAS ALTAS DE MEDIDAS 120X80X105 SOBRE LAMINADO Y PIES METALICOS,"-154,46",
28160012 - AMORTACUM 6 SILLONES GIRATORIOS EN ACERO CROMADO,"-133,79",
28160013 - AMORTACUM 4 TABURETES REDONDOS EN ACERO CROMADO,"-122,55",
28160014 - AMORTACUM 9 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"-236,68",
28160015 - AMORTACUM 4 MESAS DE 120X80 SOBRE LAMINADO Y PIES METALICOS,"-217,52",
28160016 - AMORTACUM 4 SILLAS DE OFICINA TAPIZADO TRANSPIRABLE EDICION OSCURA,"-122,55",
2817 Amortización acumulada de equipos para procesos de información,"-8450,9",
28170001 - AMORTACUMDE PORTATIL PREMIUM ULTRALIGERO P_RLH,"-3086,84",
28170002 - AMORTACUM DE TELEFONO MOVIL GAMA MEDIA_RLH,"-727,72",
28170003 - AMORTACUM DE PORTATIL GAMA BASICA PORTATIL_ILA,"-370,76",
28170004 - AMORTACUM DE PORTATIL GAMA BASICA PORTATIL_MT,"-370,78",
28170005 - AMORTACUM DE PORTATIL COMPACTO GAMA BASICA PORTATIL_LVP,"-374,64",
28170006 - AMORTACUM DE MONITORES PANTALLA VISUAL ANCHA_RLH,"-95,48",
28170007 - AMORTACUM DE MONITORES PANTALLA VISUAL ANCHA_LVP,"-95,49",
28170008 - AMORTACUM DE MONITORES PANTALLA VISUAL ANCHA_AFLP,"-95,48",
28170009 - AMORTACUM DE MONITOR_DBB,"-100,77",
28170010 - AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_MS,"-297,63",
28170011 - AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_DBB,"-388,38",
28170012 -  AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_KSC,"-388,38",
28170013 -  AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AFLC,"-388,38",
28170014 - AMORT ACUM DE PORTATIL LIGERO GAMA ECONOMICA PORTATIL_AGD,"-388,38",
28170015 - AMORT ACUM DE PORTATIL GAMA BASICA PORTATIL_SAG,-298,
28170016 - AMORTACUM DE PORTATIL COMPACTO GAMA BASICA PORTATIL_NMF,"-212,96",
28170017 - AMORT ACUM DE ORDENADOR SOBREMESA GAMA ALTA_RPL,"-510,0",
28170018 - AMORT ACUM DE PORTATIL GAMA BASICA PORTATIL_MCL,"-149,50",
28170019 - AMORT ACUM DE MONITOR PANTALLA VISUAL ANCHA_KSV,"-18,61",
28170020 - AMORT ACUM ORDENADOR PORTATIL SENCILLO LVP,"-49,37",
28170021 - AMORT ACUM TELEFONO MOVIL GAMA ALTA 512GB-YPT,"-43,33",
IV. Inversiones en empresas del grupo y asociadas a largo plazo,4081,
1. Instrumentos de patrimonio,4081,
2403 Participaciones a largo plazo en empresas del grupo,4081,
24030000 - PARTICIPACIONES LP EMP GRUPO,4081,
V. Inversiones financieras a largo plazo,"3303,07",
5. Otros activos financieros,"3303,07",
26 Fianzas y depósitos constituidos a largo plazo,"3303,07",
26000001 - FIANZA MAQUINA EXPENDEDORA OFICINA AVENIDA DEL CEDRO 12,62,
26000002 - FIANZA OFICINA AVENIDA DEL CEDRO 12,2585,
26000003 - FIANZA PARKING ESTACIONAMIENTO,183,
26000004 - FIANZA AUTOMOVIL TODOCAMINO GAMA MEDIA,"473,33",
VI. Activos por impuesto diferido,"20757,73",
Activos por impuesto diferido,"20757,73",
474 Activos por impuesto diferido,"20757,73",
47420000 - DCHOSDEDUCY BONI PTES APLI,"20757,73",
,,
Activo Corriente,"1801425,74",
III. Deudores comerciales y otras cuentas a cobrar,"69469,3",
3. Deudores varios,"48828,72",
440 Deudores,"48828,72",
44000000 - DEUDORES EUROS,27209,
44000005 - COLIBRI TRADE,"1765,50",
44000006 - VENTUS SOLUTIONS,"-797,48",
44000007 - TOPUPCRAFT,"14348,57",
44000008 - SONORA COMUNICACIONES SA,"4288,74",
44000009 - RECARGA GLOBAL SA,"2787,64",
44000010 - RAPIDPAY,"-773,26",
4. Personal,9523,
460 Anticipos de remuneraciones,1360,
46000002 - CASTRO PEREZ DANIEL,1360,
544 Créditos a corto plazo al personal,8163,
54400001 -  Créditos a corto plazo Carla Núñez Rivas,8163,
5. Activos por impuesto corriente,"11117,48",
4709 Hacienda Pública,deudora por devolución de impuestos,"11.117,48"
47090000 - HP DEUDORA DEVOLUC IMPUESTOS,"11117,48",
V. Inversiones financieras a corto plazo,"806368,12",
1. Instrumentos de patrimonio,"800151,7",
540 Inversiones financieras a corto plazo en instrumentos de patrimonio,"800151,7",
54000000 - INV FNAS CP INSTRPATRIMONIO,476158,
54000001 - BTC,"53111,46",
54000002 - INVERSION ORBIA- GESTORA GLOBAL RENTA VARIABLE SOSTENIBLE EUR 1035009490,"10883,32",
54000003 - FONDO INVESRIÓN ORBIA-LK CRECIMIENTO FI 5260476455,"77699,23",
54000004 - FONDO INVESRIÓN ORBIA-LK DINAMICO FI 9560205186,19046,
54000005 - FONDO INVERSIÓN ORBIA-LK OBJETIVO 2030 FI 9590184017,36732,
54000006 - FONDO INVERSIÓN-LABORAL ORBIA COMPROMISO PLUS FI 5470118738,8163,
54000007 - FONDO DE INVESRIÓN ORBIA-LK EQUILIBRADO FI 5480156072,89790,
54000008 - INVERSIÓN ORBIA-RENTA FIJA GLOBAL FONDO CLASE E EUR 0875009490,"28569,44",
5. Otros activos financieros,"6216,33",
551 Cuenta corriente con socios y administradores,"6216,33",
55100000 - CUENTA SOCIO FERNANDO MORALES,"175,94",
55100002 - CUENTA SOCIO NEXUS PARTICIPACIONES,6040,
VII. Efectivo y otros activos liquidos equivalentes,"925588,3",
1. Tesorería,"925588,3",
572 Bancos,euros,"925.588,27"
57200002 - BANCO NORTIA CC 705818,"140,65",
57200003 - MERIDIA 518554,"435,32",
57200006 - VENDIA 106454,"175939,45",
57200011 - ALTAVIA,"547747,40",
57200012 - USUARIO CENTRAL 698670,"45582,93",
57200014 - NEXCARD,"13235,44",
57200015 - PAYWELL,"49146,28",
57200016 - ORBIA LABORAL,"63142,12",
57200019 - CUENTA PRIMEVA ONE EMPRESAS,"30218,71",
,,
Total Activo A+B,"1892786,0",
,,
PASIVO,,
Patrimonio Neto,"1737349,53",
I. Capital,577931,
1. Capital escriturado,577931,
100 Capital social,577931,
10000000 - CAPITAL SOCIAL,577931,
II. Prima de emisión,505156,
1. Prima de emisión,505156,
110 Prima de emisión o asunción,505156,
11000000 - PRIMA DE EMISIÓN O ASUNCIÓN,505156,
III. Reservas,"510465,51",
1. Legal y estatutarias,"54511,98",
112 Reserva legal,"54511,98",
11200000 - RESERVA LEGAL,"54511,98",
2. Otras reservas,"455953,53",
113 Reservas voluntarias,"455953,53",
11300000 - RESERVAS VOLUNTARIAS,"455953,53",
VII. Resultado del ejercicio,"143795,77",
1. Resultado del ejercicio,"143795,77",
129 Resultados del ejercicio,"143795,77",
12900000 - RESULTADO DEL EJERCICIO,"143795,77",
,,
Pasivo No Corriente,"14003,57",
II. Deudas a largo plazo,"14003,57",
2. Deudas a largo plazo con entidades de crédito,"14003,57",
170 Deudas a largo plazo con entidades de crédito,"14003,57",
17000001 - PRÉSTAMO MERIDIA 2020,"14003,57",
,,
Pasivo Corriente,"141432,95",
III. Deudas a corto plazo,"20800,81",
2. Deudas a corto plazo con entidades de crédito,"20800,81",
520 Deudas a corto plazo con entidades de crédito,"20800,81",
52000002 - PRESTAMO MERIDIA CP,"20702,50",
52000003 - ALTAVIA 3493,"98,31",
V. Acreedores comerciales y otras cuentas a pagar,"120632,15",
3. Acreedores varios,"16330,39",
41 Acreedores varios,"16330,39",
41000003 - BRISALINK COMERCIO SL,"362,40",
41000019 - NADIA CORTES VALLE,-1360,
41000020 - NEXAWEB DUBLIN LIMITED,"520,06",
41000041 - ROTABIZ COMPANY SL,"-0,1",
41000080 - DELTA ASESORES,"1042,84",
41000095 - SKYDATA REGION LIMITED,"634,98",
41000141 - LOGISTICA NORTE SL,"174,0",
41000151 - TIENDA AUTOMATICA SLU,"263,96",
41000153 - ASESORIA FINANCIERA CENTRAL,"4744,86",
41000156 - MARCOS OLIVARES PEÑA,-143,
41000197 - MARKETINSIGHT ANALYTICS,"-0,01",
41000223 - GLOBALTRADE CORP,"-1012,47",
41000241 - DATASYNTH LLC,"-0,01",
41000276 - OFICINA REGIONAL ATLANTICO SA,"2040,71",
41000304 - PAYFLEX SOLUCIONES SA,"168,03",
41000332 - ARENAL CONSULTING SL,"-0,01",
41000335 - TELCO PRIME COMUNICACIONES SLU,"0,01",
41000346 - Diego Fernández Ruiz,680,
41000349 - SECUREPOINT SISTEMAS SL,"8214,3",
4. personal (remuneraciones pendientes de pago),"-5181,47",
465 Remuneraciones pendientes de pago,"-5181,47",
46500003 - MORALES DIAZ FERNANDO ANTONIO,"-5181,47",
6. Otras deudas con las Administraciones Públicas,"109483,22",
4750 Hacienda Pública,acreedora por IVA,"45.123,33"
47500000 - HACIENDA PÚBLICA ACREEDORA PO,"45123,33",
4751 Hacienda Pública,acreedora por retenciones practicadas,"46.884,56"
47510000 - HP ACREED RETEN PROFESIONAL,"743,72",
47510001 - HP ACREED RETEN TRABAJADOR,"46140,84",
476 Organismos de la Seguridad Social,acreedores,"17.475,32"
47600000 - ORGANIDE LA SSSSACREEDORES,"17475,32",
,,
Total Patrimonio Neto y Pasivo,"1892786,0",
,,
,,
Informe creado automáticamente con GestionaPro - 03/03/2025 12:07,,
